 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getResourcesDirtyResolverEnabled = false
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getArgFile = C:\Users\Guillaume BROCERO\Documents\Projets\BougeWearOS\windows\build\run\jvmMain\jvmMain.argfile
 | 17:49:50.786 | App      | Info  | OrchestrationKt | main | Agent: Server started on port '63282'
 | 17:49:50.867 | App      | Info  | PidfileKt | main | Created pid file: file:///C:/Users/Guillaume%20BROCERO/Documents/Projets/BougeWearOS/windows/build/run/jvmMain/jvmMain.pid
 | 17:49:50.880 | App      | Info  | DevToolsKt | main | Starting 'DevTools'
 | 17:49:51.060 | App      | Debug | ComposeKt | AWT-EventQueue-0 | 'setHotReloadEnabled' method found, enabled compose hot reload mode (app)
 | 17:49:51.218 | DevTools | Info  | Main | main | PID: '10412'
 | 17:49:51.226 | DevTools | Info  | OrchestrationKt | main | Connecting 'orchestration'
 | 17:49:51.375 | DevTools | Info  | OrchestrationKt | main | Connected 'orchestration'
 | 17:49:51.417 | DevTools | Info  | RecompilerKt | Recompiler | Recompiler created: 'Gradle'
 | 17:49:51.429 | DevTools | Info  | RecompilerKt | Recompiler | Running Recompiler on '[3$e17f2d1d-fe74-492e-9f9d-987d7b9e6419]'
 | 17:49:51.455 | Build    | Info  | Gradle | Recompiler | 'Recompiler': Started (20008)
 | 17:49:51.522 | DevTools | Info  | Main | AWT-EventQueue-0 | Composing '0' windows
 | 17:49:52.348 | Build    | Info  | Gradle | DefaultDispatcher-worker-1 | To honour the JVM settings for this build a single-use Daemon process will be forked. For more on this, please refer to https://docs.gradle.org/8.13/userguide/gradle_daemon.html#sec:disabling_the_daemon in the Gradle documentation.
 | 17:49:52.923 | App      | Info  | JvmDevelopmentEntryPoint | AWT-EventQueue-0 | Composing UI: { iteration=0, key=0,  }
 | 17:49:53.031 | DevTools | Info  | Main | AWT-EventQueue-0 | Composing '1' windows
 | 17:49:54.144 | Build    | Info  | Gradle | DefaultDispatcher-worker-1 | Daemon will be stopped at the end of the build 
 | 17:49:55.744 | Build    | Info  | Gradle | DefaultDispatcher-worker-1 | Calculating task graph as no cached configuration is available for tasks: :windows:hotReloadJvmMain
 | 17:49:57.119 | DevTools | Debug | DtAnimatedWindowKt | AWT-EventQueue-0 | WindowId(value='9b91534f-356a-46d3-b9d8-a7d1c510221e'): Compose Hot Reload Dev Tools (Minimised) 'toFront()'
 | 17:49:57.275 | App      | Info  | OrchestrationKt | Thread-0 | Hot Reload Agent is shutting down
